,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3
15,0.8529411764705882,0.6764705882352942,molWeight,molVolume,C_R2
19,0.8529411764705882,0.6764705882352942,molWeight,molVolume,posCharge/Volume
23,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_PO4
25,0.8529411764705882,0.6764705882352942,molWeight,molVolume,nof_SH
56,0.8823529411764706,0.7058823529411765,molWeight,molLogP,nof_COOH
97,0.8529411764705882,0.7352941176470589,molWeight,molPSA,nof_negCharge
148,0.8529411764705882,0.6764705882352942,molWeight,PSA/Area,nof_negCharge
162,0.8529411764705882,0.7058823529411765,molWeight,PSA/Area,nof_COOH
193,0.8529411764705882,0.7941176470588235,molWeight,nof_Chirals,Complexity
213,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,molCharge_total
217,0.8529411764705882,0.7352941176470589,molWeight,nof_HBA,nof_negCharge
225,0.8823529411764706,0.7058823529411765,molWeight,nof_HBA,nof_RotB
231,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,nof_COOH
256,0.8529411764705882,0.8235294117647058,molWeight,molCharge_total,Complexity
271,0.8529411764705882,0.7058823529411765,molWeight,molCharge_total,nof_NH2
275,0.8529411764705882,0.8235294117647058,molWeight,nof_Rings,Complexity
278,0.8529411764705882,0.7058823529411765,molWeight,nof_Rings,a_heavy
295,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge
305,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_PO4
309,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_COOH
341,0.8529411764705882,0.7058823529411765,molWeight,nof_negCharge,nof_NH2
417,0.8529411764705882,0.7058823529411765,molWeight,posCharge/Volume,nof_COOH
446,0.8529411764705882,0.7058823529411765,molWeight,nof_PO4,nof_NH2
459,0.8823529411764706,0.7352941176470589,molWeight,nof_NH2,nof_COOH
460,0.8529411764705882,0.7058823529411765,molWeight,nof_NH2,nof_OH
597,0.8529411764705882,0.7058823529411765,molVolume,PSA/Area,nof_COOH
652,0.8529411764705882,0.7058823529411765,molVolume,nof_HBA,nof_negCharge
666,0.8823529411764706,0.6764705882352942,molVolume,nof_HBA,nof_COOH
671,0.8529411764705882,0.7941176470588235,molVolume,nof_HBD,Complexity
706,0.8529411764705882,0.6764705882352942,molVolume,molCharge_total,nof_NH2
744,0.8529411764705882,0.7941176470588235,molVolume,Complexity,nof_COOH
1312,0.8529411764705882,0.8235294117647058,molLogS,molPSA,molCharge_total
1316,0.8529411764705882,0.8235294117647058,molLogS,molPSA,nof_negCharge
1340,0.9117647058823528,0.7647058823529411,molLogS,molArea,Complexity
2057,0.8529411764705882,0.7058823529411765,molArea,PSA/Area,nof_COOH
2084,0.8529411764705882,0.6764705882352942,molArea,nof_Chirals,nof_HBA
2108,0.8529411764705882,0.7058823529411765,molArea,nof_HBA,molCharge_total
2112,0.8529411764705882,0.6764705882352942,molArea,nof_HBA,nof_negCharge
2126,0.8529411764705882,0.7058823529411765,molArea,nof_HBA,nof_COOH
2190,0.8823529411764706,0.8529411764705882,molArea,Complexity,nof_negCharge
2196,0.8529411764705882,0.8529411764705882,molArea,Complexity,posCharge/Volume
2200,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_PO4
2201,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_SO3H
2202,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_SH
2204,0.8823529411764706,0.8529411764705882,molArea,Complexity,nof_COOH
2205,0.8529411764705882,0.8529411764705882,molArea,Complexity,nof_OH
2305,0.8823529411764706,0.6764705882352942,molArea,posCharge/Volume,negCharge/Volume
2312,0.8529411764705882,0.7647058823529411,molArea,posCharge/Volume,nof_COOH
2450,0.8529411764705882,0.6176470588235294,PSA/Area,molCharge_total,nof_Rings
2471,0.8529411764705882,0.6764705882352942,PSA/Area,nof_Rings,nof_posCharge
2472,0.8823529411764706,0.6470588235294118,PSA/Area,nof_Rings,nof_negCharge
2481,0.8529411764705882,0.7058823529411765,PSA/Area,nof_Rings,nof_Fragments
2552,0.8529411764705882,0.6470588235294118,PSA/Area,a_heavy,nof_COOH
3312,0.8529411764705882,0.6764705882352942,nof_HBA,a_heavy,nof_COOH
3362,0.8529411764705882,0.4705882352941176,nof_HBA,C_sp3,nof_COOH
3822,0.8529411764705882,0.8529411764705882,nof_Rings,Complexity,a_heavy
3830,0.8529411764705882,0.6764705882352942,nof_Rings,Complexity,nof_Fragments
4008,0.8529411764705882,0.7941176470588235,Complexity,nof_negCharge,a_heavy
4036,0.8529411764705882,0.7941176470588235,Complexity,a_heavy,nof_COOH
4457,0.8529411764705882,0.6470588235294118,a_heavy,posCharge/Volume,nof_COOH
4519,0.8823529411764706,0.7058823529411765,C_R2,C_R0,posCharge/Volume
4542,0.8529411764705882,0.6176470588235294,C_R2,posCharge/Volume,nof_RotB
4688,0.8823529411764706,0.7058823529411765,C_R0,posCharge/Volume,nof_PO4
4689,0.8529411764705882,0.7058823529411765,C_R0,posCharge/Volume,nof_SO3H
4690,0.8823529411764706,0.7058823529411765,C_R0,posCharge/Volume,nof_SH
4805,0.8529411764705882,0.6176470588235294,posCharge/Volume,nof_RotB,nof_PO4
4807,0.8529411764705882,0.6176470588235294,posCharge/Volume,nof_RotB,nof_SH
