,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4,Feature  5
29,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molLogP,molPSA,molArea
51,0.7380952380952379,0.7666666666666667,molWeight,molVolume,molLogP,molPSA,nof_SH
63,0.8238095238095238,0.8,molWeight,molVolume,molLogP,molArea,Complexity
70,0.6809523809523811,0.7714285714285715,molWeight,molVolume,molLogP,molArea,C_sp3
71,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molLogP,molArea,posCharge/Volume
76,0.7380952380952381,0.7666666666666667,molWeight,molVolume,molLogP,molArea,nof_SO3H
92,0.7047619047619047,0.7952380952380953,molWeight,molVolume,molLogP,PSA/Area,C_R2
95,0.7095238095238096,0.7666666666666667,molWeight,molVolume,molLogP,PSA/Area,C_sp3
98,0.7428571428571429,0.7904761904761904,molWeight,molVolume,molLogP,PSA/Area,nof_RotB
134,0.7095238095238094,0.7619047619047621,molWeight,molVolume,molLogP,nof_Chirals,nof_Rings
206,0.7333333333333333,0.7904761904761904,molWeight,molVolume,molLogP,molCharge_total,posCharge/Volume
237,0.7380952380952381,0.7619047619047621,molWeight,molVolume,molLogP,Complexity,nof_negCharge
242,0.6809523809523811,0.7714285714285715,molWeight,molVolume,molLogP,Complexity,C_sp3
247,0.7952380952380953,0.7666666666666667,molWeight,molVolume,molLogP,Complexity,nof_PO4
249,0.7714285714285714,0.7619047619047619,molWeight,molVolume,molLogP,Complexity,nof_SH
252,0.8238095238095238,0.7666666666666667,molWeight,molVolume,molLogP,Complexity,nof_OH
255,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molLogP,nof_posCharge,a_heavy
281,0.6761904761904762,0.7619047619047619,molWeight,molVolume,molLogP,nof_negCharge,nof_SO3H
323,0.6714285714285715,0.7666666666666667,molWeight,molVolume,molLogP,C_R1,nof_SO3H
357,0.7285714285714285,0.7666666666666667,molWeight,molVolume,molLogP,posCharge/Volume,nof_SH
391,0.6523809523809524,0.7571428571428572,molWeight,molVolume,molLogP,nof_PO4,nof_acetyl
403,0.7285714285714286,0.7619047619047619,molWeight,molVolume,molLogP,nof_NH2,nof_acetyl
406,0.6428571428571429,0.7952380952380953,molWeight,molVolume,molLogP,nof_OH,nof_acetyl
407,0.8238095238095238,0.7619047619047619,molWeight,molVolume,molLogS,molPSA,molArea
408,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molLogS,molPSA,PSA/Area
409,0.7285714285714285,0.8,molWeight,molVolume,molLogS,molPSA,nof_Atoms
410,0.7952380952380953,0.7666666666666667,molWeight,molVolume,molLogS,molPSA,nof_Chirals
411,0.8238095238095238,0.7619047619047619,molWeight,molVolume,molLogS,molPSA,nof_HBA
415,0.7904761904761904,0.7952380952380953,molWeight,molVolume,molLogS,molPSA,Complexity
421,0.7571428571428571,0.7619047619047618,molWeight,molVolume,molLogS,molPSA,C_R0
461,0.7571428571428571,0.7666666666666667,molWeight,molVolume,molLogS,PSA/Area,nof_Chirals
462,0.7952380952380953,0.8,molWeight,molVolume,molLogS,PSA/Area,nof_HBA
464,0.7333333333333333,0.8,molWeight,molVolume,molLogS,PSA/Area,molCharge_total
469,0.7142857142857142,0.7857142857142857,molWeight,molVolume,molLogS,PSA/Area,a_heavy
470,0.7095238095238094,0.7619047619047619,molWeight,molVolume,molLogS,PSA/Area,C_R2
475,0.8,0.8238095238095238,molWeight,molVolume,molLogS,PSA/Area,negCharge/Volume
477,0.7047619047619047,0.7952380952380953,molWeight,molVolume,molLogS,PSA/Area,nof_Fragments
478,0.6714285714285714,0.7619047619047619,molWeight,molVolume,molLogS,PSA/Area,nof_PO4
480,0.7952380952380953,0.7571428571428572,molWeight,molVolume,molLogS,PSA/Area,nof_SH
482,0.7047619047619047,0.7666666666666667,molWeight,molVolume,molLogS,PSA/Area,nof_COOH
483,0.7380952380952381,0.7714285714285715,molWeight,molVolume,molLogS,PSA/Area,nof_OH
484,0.6809523809523811,0.7666666666666667,molWeight,molVolume,molLogS,PSA/Area,nof_acetyl
490,0.880952380952381,0.7714285714285714,molWeight,molVolume,molLogS,nof_Atoms,Complexity
492,0.7952380952380953,0.7571428571428571,molWeight,molVolume,molLogS,nof_Atoms,nof_negCharge
509,0.7619047619047619,0.7666666666666667,molWeight,molVolume,molLogS,nof_Chirals,nof_HBA
535,0.8523809523809524,0.7857142857142857,molWeight,molVolume,molLogS,nof_HBA,Complexity
549,0.6523809523809525,0.7666666666666667,molWeight,molVolume,molLogS,nof_HBA,nof_SH
552,0.7666666666666667,0.7619047619047619,molWeight,molVolume,molLogS,nof_HBA,nof_OH
614,0.7952380952380952,0.7619047619047619,molWeight,molVolume,molLogS,Complexity,nof_posCharge
617,0.7904761904761904,0.7619047619047619,molWeight,molVolume,molLogS,Complexity,C_R2
619,0.7952380952380953,0.7571428571428571,molWeight,molVolume,molLogS,Complexity,C_R0
631,0.7952380952380953,0.7619047619047619,molWeight,molVolume,molLogS,Complexity,nof_acetyl
780,0.8238095238095238,0.7714285714285715,molWeight,molVolume,molLogS,nof_NH2,nof_OH
796,0.8285714285714286,0.7666666666666667,molWeight,molVolume,molPSA,molArea,C_R2
805,0.7333333333333333,0.7619047619047619,molWeight,molVolume,molPSA,molArea,nof_SO3H
818,0.7428571428571428,0.7666666666666667,molWeight,molVolume,molPSA,PSA/Area,nof_posCharge
824,0.7047619047619047,0.7714285714285715,molWeight,molVolume,molPSA,PSA/Area,C_sp3
830,0.7619047619047619,0.7952380952380953,molWeight,molVolume,molPSA,PSA/Area,nof_SO3H
837,0.7428571428571428,0.7666666666666667,molWeight,molVolume,molPSA,nof_Atoms,nof_HBA
853,0.7523809523809525,0.7619047619047618,molWeight,molVolume,molPSA,nof_Atoms,nof_PO4
862,0.8285714285714285,0.7952380952380953,molWeight,molVolume,molPSA,nof_Chirals,molCharge_total
864,0.7619047619047621,0.8857142857142858,molWeight,molVolume,molPSA,nof_Chirals,Complexity
874,0.7857142857142857,0.7619047619047619,molWeight,molVolume,molPSA,nof_Chirals,nof_RotB
888,0.7904761904761904,0.8,molWeight,molVolume,molPSA,nof_HBA,nof_negCharge
893,0.7047619047619047,0.7571428571428571,molWeight,molVolume,molPSA,nof_HBA,C_sp3
904,0.6523809523809525,0.7857142857142858,molWeight,molVolume,molPSA,nof_HBA,nof_acetyl
932,0.8285714285714285,0.7619047619047618,molWeight,molVolume,molPSA,molCharge_total,C_R1
948,0.7571428571428571,0.7666666666666667,molWeight,molVolume,molPSA,nof_Rings,nof_negCharge
953,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molPSA,nof_Rings,C_sp3
963,0.7666666666666667,0.8190476190476191,molWeight,molVolume,molPSA,nof_Rings,nof_OH
969,0.8857142857142858,0.7952380952380953,molWeight,molVolume,molPSA,Complexity,C_R1
976,0.7666666666666667,0.8238095238095238,molWeight,molVolume,molPSA,Complexity,nof_PO4
979,0.7666666666666667,0.7714285714285714,molWeight,molVolume,molPSA,Complexity,nof_NH2
984,0.7952380952380953,0.7619047619047619,molWeight,molVolume,molPSA,nof_posCharge,a_heavy
1011,0.8238095238095238,0.8523809523809524,molWeight,molVolume,molPSA,nof_negCharge,nof_SH
1024,0.7333333333333333,0.8,molWeight,molVolume,molPSA,a_heavy,nof_PO4
1066,0.7333333333333333,0.7619047619047619,molWeight,molVolume,molPSA,C_R0,nof_NH2
1070,0.7666666666666667,0.7952380952380953,molWeight,molVolume,molPSA,C_sp3,posCharge/Volume
1094,0.7285714285714285,0.7666666666666667,molWeight,molVolume,molPSA,negCharge/Volume,nof_SO3H
1096,0.7714285714285714,0.7666666666666667,molWeight,molVolume,molPSA,negCharge/Volume,nof_NH2
1108,0.7571428571428571,0.7714285714285715,molWeight,molVolume,molPSA,nof_Fragments,nof_PO4
1126,0.7333333333333333,0.7619047619047619,molWeight,molVolume,molPSA,nof_SH,nof_NH2
1133,0.8238095238095238,0.7952380952380953,molWeight,molVolume,molPSA,nof_COOH,nof_OH
1136,0.7380952380952381,0.7904761904761904,molWeight,molVolume,molArea,PSA/Area,nof_Atoms
1138,0.7619047619047619,0.7619047619047619,molWeight,molVolume,molArea,PSA/Area,nof_HBA
1140,0.7666666666666667,0.8523809523809524,molWeight,molVolume,molArea,PSA/Area,molCharge_total
1146,0.8,0.7619047619047619,molWeight,molVolume,molArea,PSA/Area,C_R2
1150,0.7904761904761904,0.7619047619047619,molWeight,molVolume,molArea,PSA/Area,posCharge/Volume
1152,0.7952380952380953,0.7714285714285715,molWeight,molVolume,molArea,PSA/Area,nof_RotB
1153,0.7333333333333333,0.7904761904761904,molWeight,molVolume,molArea,PSA/Area,nof_Fragments
1156,0.7904761904761904,0.8,molWeight,molVolume,molArea,PSA/Area,nof_SH
1164,0.7619047619047619,0.7619047619047621,molWeight,molVolume,molArea,nof_Atoms,molCharge_total
1167,0.7857142857142858,0.7666666666666667,molWeight,molVolume,molArea,nof_Atoms,nof_posCharge
1170,0.7952380952380953,0.7666666666666667,molWeight,molVolume,molArea,nof_Atoms,C_R2
1173,0.8571428571428573,0.7714285714285715,molWeight,molVolume,molArea,nof_Atoms,C_sp3
1177,0.7952380952380953,0.7952380952380953,molWeight,molVolume,molArea,nof_Atoms,nof_Fragments
1178,0.7380952380952381,0.7666666666666667,molWeight,molVolume,molArea,nof_Atoms,nof_PO4
1184,0.7952380952380953,0.7619047619047618,molWeight,molVolume,molArea,nof_Atoms,nof_acetyl
1205,0.8238095238095238,0.7619047619047619,molWeight,molVolume,molArea,nof_Chirals,nof_COOH
1211,0.8190476190476189,0.8142857142857143,molWeight,molVolume,molArea,nof_HBA,Complexity
1222,0.8285714285714285,0.7666666666666667,molWeight,molVolume,molArea,nof_HBA,nof_Fragments
1225,0.7952380952380953,0.7619047619047619,molWeight,molVolume,molArea,nof_HBA,nof_SH
1230,0.8190476190476191,0.7666666666666667,molWeight,molVolume,molArea,nof_HBD,molCharge_total
1232,0.7666666666666667,0.8571428571428573,molWeight,molVolume,molArea,nof_HBD,Complexity
1235,0.8571428571428573,0.8285714285714285,molWeight,molVolume,molArea,nof_HBD,a_heavy
1245,0.7952380952380953,0.7666666666666666,molWeight,molVolume,molArea,nof_HBD,nof_SO3H
1249,0.8190476190476189,0.7666666666666667,molWeight,molVolume,molArea,nof_HBD,nof_OH
1252,0.7904761904761904,0.8809523809523808,molWeight,molVolume,molArea,molCharge_total,Complexity
1253,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molArea,molCharge_total,nof_posCharge
1258,0.7285714285714285,0.7571428571428571,molWeight,molVolume,molArea,molCharge_total,C_R0
1262,0.7952380952380953,0.7571428571428571,molWeight,molVolume,molArea,molCharge_total,nof_RotB
1265,0.8190476190476191,0.7571428571428571,molWeight,molVolume,molArea,molCharge_total,nof_SO3H
1267,0.7904761904761904,0.7619047619047619,molWeight,molVolume,molArea,molCharge_total,nof_NH2
1271,0.8285714285714285,0.7619047619047618,molWeight,molVolume,molArea,nof_Rings,Complexity
1283,0.7714285714285714,0.7666666666666667,molWeight,molVolume,molArea,nof_Rings,nof_PO4
1290,0.7904761904761904,0.9095238095238096,molWeight,molVolume,molArea,Complexity,nof_posCharge
1291,0.7952380952380953,0.7952380952380953,molWeight,molVolume,molArea,Complexity,nof_negCharge
1292,0.8285714285714285,0.7952380952380953,molWeight,molVolume,molArea,Complexity,a_heavy
1293,0.7666666666666667,0.7952380952380953,molWeight,molVolume,molArea,Complexity,C_R2
1295,0.8,0.7904761904761906,molWeight,molVolume,molArea,Complexity,C_R0
1296,0.7952380952380953,0.7666666666666667,molWeight,molVolume,molArea,Complexity,C_sp3
1297,0.8,0.8857142857142858,molWeight,molVolume,molArea,Complexity,posCharge/Volume
1298,0.8285714285714285,0.8476190476190476,molWeight,molVolume,molArea,Complexity,negCharge/Volume
1299,0.8142857142857143,0.880952380952381,molWeight,molVolume,molArea,Complexity,nof_RotB
1300,0.7666666666666667,0.7857142857142857,molWeight,molVolume,molArea,Complexity,nof_Fragments
1302,0.8190476190476191,0.8285714285714285,molWeight,molVolume,molArea,Complexity,nof_SO3H
1303,0.7904761904761906,0.7904761904761904,molWeight,molVolume,molArea,Complexity,nof_SH
1304,0.8238095238095239,0.7666666666666667,molWeight,molVolume,molArea,Complexity,nof_NH2
1305,0.8238095238095238,0.8,molWeight,molVolume,molArea,Complexity,nof_COOH
1306,0.7666666666666667,0.7904761904761904,molWeight,molVolume,molArea,Complexity,nof_OH
1314,0.7571428571428571,0.7666666666666667,molWeight,molVolume,molArea,nof_posCharge,posCharge/Volume
1315,0.7904761904761906,0.7666666666666667,molWeight,molVolume,molArea,nof_posCharge,negCharge/Volume
1321,0.7,0.7904761904761906,molWeight,molVolume,molArea,nof_posCharge,nof_NH2
1323,0.8285714285714285,0.7666666666666667,molWeight,molVolume,molArea,nof_posCharge,nof_OH
1329,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molArea,nof_negCharge,C_sp3
1362,0.7619047619047619,0.7952380952380953,molWeight,molVolume,molArea,C_R2,nof_Fragments
1369,0.8,0.7666666666666667,molWeight,molVolume,molArea,C_R2,nof_acetyl
1374,0.8,0.8238095238095239,molWeight,molVolume,molArea,C_R1,nof_RotB
1376,0.8,0.7666666666666667,molWeight,molVolume,molArea,C_R1,nof_PO4
1378,0.7952380952380953,0.7904761904761904,molWeight,molVolume,molArea,C_R1,nof_SH
1379,0.8523809523809524,0.8142857142857143,molWeight,molVolume,molArea,C_R1,nof_NH2
1389,0.7714285714285714,0.7904761904761904,molWeight,molVolume,molArea,C_R0,nof_SO3H
1395,0.7952380952380952,0.7619047619047619,molWeight,molVolume,molArea,C_sp3,posCharge/Volume
1400,0.7428571428571429,0.7571428571428571,molWeight,molVolume,molArea,C_sp3,nof_SO3H
1401,0.7666666666666667,0.7666666666666667,molWeight,molVolume,molArea,C_sp3,nof_SH
1409,0.8238095238095239,0.7666666666666667,molWeight,molVolume,molArea,posCharge/Volume,nof_PO4
1410,0.8285714285714285,0.7619047619047619,molWeight,molVolume,molArea,posCharge/Volume,nof_SO3H
1431,0.8285714285714285,0.7714285714285715,molWeight,molVolume,molArea,nof_RotB,nof_OH
1434,0.8,0.7619047619047619,molWeight,molVolume,molArea,nof_Fragments,nof_SO3H
1441,0.8476190476190476,0.8,molWeight,molVolume,molArea,nof_PO4,nof_SH
1462,0.7619047619047619,0.7714285714285715,molWeight,molVolume,PSA/Area,nof_Atoms,nof_HBA
1464,0.7904761904761904,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_Atoms,molCharge_total
1469,0.7952380952380953,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_Atoms,a_heavy
1474,0.7142857142857143,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_Atoms,posCharge/Volume
1480,0.7380952380952381,0.8190476190476191,molWeight,molVolume,PSA/Area,nof_Atoms,nof_SH
1481,0.7428571428571429,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_Atoms,nof_NH2
1485,0.7380952380952381,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_Chirals,nof_HBA
1488,0.7095238095238094,0.8190476190476191,molWeight,molVolume,PSA/Area,nof_Chirals,nof_Rings
1489,0.6809523809523811,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_Chirals,Complexity
1498,0.7380952380952381,0.8428571428571429,molWeight,molVolume,PSA/Area,nof_Chirals,negCharge/Volume
1501,0.7904761904761904,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_Chirals,nof_PO4
1503,0.7333333333333333,0.7952380952380952,molWeight,molVolume,PSA/Area,nof_Chirals,nof_SH
1504,0.8,0.8,molWeight,molVolume,PSA/Area,nof_Chirals,nof_NH2
1511,0.7095238095238096,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_HBA,Complexity
1513,0.7047619047619047,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_HBA,nof_negCharge
1517,0.8,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_HBA,C_R0
1519,0.7666666666666667,0.8285714285714286,molWeight,molVolume,PSA/Area,nof_HBA,posCharge/Volume
1527,0.7619047619047619,0.8,molWeight,molVolume,PSA/Area,nof_HBA,nof_COOH
1531,0.7714285714285715,0.7714285714285714,molWeight,molVolume,PSA/Area,nof_HBD,nof_Rings
1533,0.7714285714285715,0.7714285714285715,molWeight,molVolume,PSA/Area,nof_HBD,nof_posCharge
1534,0.7952380952380953,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_HBD,nof_negCharge
1570,0.7952380952380953,0.7666666666666667,molWeight,molVolume,PSA/Area,molCharge_total,nof_acetyl
1573,0.8238095238095238,0.7952380952380953,molWeight,molVolume,PSA/Area,nof_Rings,nof_negCharge
1581,0.7619047619047619,0.7714285714285715,molWeight,molVolume,PSA/Area,nof_Rings,nof_RotB
1587,0.7952380952380953,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_Rings,nof_COOH
1589,0.7619047619047619,0.7952380952380953,molWeight,molVolume,PSA/Area,nof_Rings,nof_acetyl
1593,0.7666666666666667,0.8,molWeight,molVolume,PSA/Area,Complexity,C_R2
1594,0.7142857142857143,0.7952380952380953,molWeight,molVolume,PSA/Area,Complexity,C_R1
1596,0.6809523809523811,0.7666666666666667,molWeight,molVolume,PSA/Area,Complexity,C_sp3
1597,0.7952380952380953,0.7666666666666667,molWeight,molVolume,PSA/Area,Complexity,posCharge/Volume
1601,0.7380952380952381,0.7714285714285715,molWeight,molVolume,PSA/Area,Complexity,nof_PO4
1605,0.7380952380952381,0.8285714285714286,molWeight,molVolume,PSA/Area,Complexity,nof_COOH
1606,0.7047619047619047,0.7666666666666667,molWeight,molVolume,PSA/Area,Complexity,nof_OH
1607,0.7904761904761904,0.7904761904761904,molWeight,molVolume,PSA/Area,Complexity,nof_acetyl
1609,0.7571428571428571,0.8190476190476189,molWeight,molVolume,PSA/Area,nof_posCharge,a_heavy
1611,0.7333333333333333,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_posCharge,C_R1
1616,0.6809523809523811,0.8285714285714285,molWeight,molVolume,PSA/Area,nof_posCharge,nof_RotB
1622,0.7428571428571429,0.8238095238095239,molWeight,molVolume,PSA/Area,nof_posCharge,nof_COOH
1623,0.7333333333333333,0.7904761904761904,molWeight,molVolume,PSA/Area,nof_posCharge,nof_OH
1624,0.6761904761904762,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_posCharge,nof_acetyl
1631,0.7619047619047619,0.7904761904761906,molWeight,molVolume,PSA/Area,nof_negCharge,negCharge/Volume
1636,0.7952380952380953,0.7714285714285715,molWeight,molVolume,PSA/Area,nof_negCharge,nof_SH
1639,0.7619047619047619,0.7571428571428571,molWeight,molVolume,PSA/Area,nof_negCharge,nof_OH
1640,0.6809523809523811,0.7952380952380953,molWeight,molVolume,PSA/Area,nof_negCharge,nof_acetyl
1650,0.7666666666666667,0.7571428571428571,molWeight,molVolume,PSA/Area,a_heavy,nof_SO3H
1666,0.7666666666666667,0.7666666666666667,molWeight,molVolume,PSA/Area,C_R2,nof_NH2
1678,0.7380952380952381,0.7666666666666667,molWeight,molVolume,PSA/Area,C_R1,nof_SH
1692,0.7666666666666667,0.7666666666666667,molWeight,molVolume,PSA/Area,C_R0,nof_COOH
1697,0.7666666666666667,0.7619047619047619,molWeight,molVolume,PSA/Area,C_sp3,nof_RotB
1714,0.7666666666666667,0.7619047619047621,molWeight,molVolume,PSA/Area,posCharge/Volume,nof_OH
1716,0.7047619047619047,0.7666666666666667,molWeight,molVolume,PSA/Area,negCharge/Volume,nof_RotB
1718,0.7047619047619047,0.8238095238095238,molWeight,molVolume,PSA/Area,negCharge/Volume,nof_PO4
1719,0.7619047619047621,0.7904761904761904,molWeight,molVolume,PSA/Area,negCharge/Volume,nof_SO3H
1723,0.7714285714285715,0.7952380952380953,molWeight,molVolume,PSA/Area,negCharge/Volume,nof_OH
1726,0.7666666666666667,0.7571428571428572,molWeight,molVolume,PSA/Area,nof_RotB,nof_PO4
1732,0.7666666666666667,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_RotB,nof_acetyl
1734,0.7047619047619047,0.8238095238095239,molWeight,molVolume,PSA/Area,nof_Fragments,nof_SO3H
1735,0.7047619047619047,0.7952380952380953,molWeight,molVolume,PSA/Area,nof_Fragments,nof_SH
1747,0.7666666666666667,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_SO3H,nof_NH2
1750,0.7047619047619047,0.7619047619047619,molWeight,molVolume,PSA/Area,nof_SO3H,nof_acetyl
1753,0.7952380952380953,0.7666666666666667,molWeight,molVolume,PSA/Area,nof_SH,nof_OH
1779,0.8190476190476191,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_Chirals,nof_SH
1784,0.7380952380952381,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_HBA,nof_HBD
1791,0.7952380952380953,0.7619047619047619,molWeight,molVolume,nof_Atoms,nof_HBA,C_R2
1794,0.7333333333333333,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_HBA,C_sp3
1796,0.7666666666666667,0.8,molWeight,molVolume,nof_Atoms,nof_HBA,negCharge/Volume
1798,0.7380952380952381,0.7952380952380953,molWeight,molVolume,nof_Atoms,nof_HBA,nof_Fragments
1800,0.7999999999999999,0.7952380952380953,molWeight,molVolume,nof_Atoms,nof_HBA,nof_SO3H
1805,0.7666666666666667,0.7904761904761904,molWeight,molVolume,nof_Atoms,nof_HBA,nof_acetyl
1808,0.8238095238095238,0.7571428571428572,molWeight,molVolume,nof_Atoms,nof_HBD,Complexity
1819,0.7952380952380953,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_HBD,nof_Fragments
1843,0.8142857142857143,0.7666666666666667,molWeight,molVolume,nof_Atoms,molCharge_total,nof_NH2
1847,0.7904761904761904,0.7619047619047619,molWeight,molVolume,nof_Atoms,nof_Rings,Complexity
1854,0.7619047619047618,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_Rings,C_sp3
1855,0.7666666666666667,0.7619047619047618,molWeight,molVolume,nof_Atoms,nof_Rings,posCharge/Volume
1856,0.7666666666666667,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_Rings,negCharge/Volume
1859,0.8238095238095239,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_Rings,nof_PO4
1869,0.7333333333333333,0.7952380952380953,molWeight,molVolume,nof_Atoms,Complexity,C_R2
1875,0.7333333333333333,0.7666666666666667,molWeight,molVolume,nof_Atoms,Complexity,nof_RotB
1876,0.7428571428571429,0.7523809523809525,molWeight,molVolume,nof_Atoms,Complexity,nof_Fragments
1880,0.7666666666666667,0.7666666666666667,molWeight,molVolume,nof_Atoms,Complexity,nof_NH2
1886,0.7571428571428572,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_posCharge,C_R2
1898,0.7809523809523811,0.7571428571428572,molWeight,molVolume,nof_Atoms,nof_posCharge,nof_COOH
1904,0.7666666666666667,0.7714285714285714,molWeight,molVolume,nof_Atoms,nof_negCharge,C_R0
1915,0.7666666666666667,0.7714285714285715,molWeight,molVolume,nof_Atoms,nof_negCharge,nof_OH
1933,0.7285714285714285,0.7571428571428572,molWeight,molVolume,nof_Atoms,C_R2,C_R0
1934,0.7666666666666667,0.7714285714285715,molWeight,molVolume,nof_Atoms,C_R2,C_sp3
1975,0.8,0.7714285714285715,molWeight,molVolume,nof_Atoms,C_sp3,nof_PO4
1979,0.6761904761904762,0.7666666666666667,molWeight,molVolume,nof_Atoms,C_sp3,nof_COOH
1992,0.7666666666666667,0.7666666666666666,molWeight,molVolume,nof_Atoms,negCharge/Volume,nof_RotB
1999,0.7333333333333333,0.7666666666666667,molWeight,molVolume,nof_Atoms,negCharge/Volume,nof_OH
2008,0.7285714285714286,0.7523809523809525,molWeight,molVolume,nof_Atoms,nof_RotB,nof_acetyl
2010,0.7,0.8,molWeight,molVolume,nof_Atoms,nof_Fragments,nof_SO3H
2031,0.7952380952380953,0.7666666666666667,molWeight,molVolume,nof_Atoms,nof_NH2,nof_COOH
2043,0.7,0.7666666666666667,molWeight,molVolume,nof_Chirals,nof_HBA,a_heavy
2047,0.8571428571428573,0.7619047619047619,molWeight,molVolume,nof_Chirals,nof_HBA,C_sp3
2048,0.7095238095238096,0.7619047619047618,molWeight,molVolume,nof_Chirals,nof_HBA,posCharge/Volume
2054,0.7666666666666667,0.7571428571428571,molWeight,molVolume,nof_Chirals,nof_HBA,nof_SH
2066,0.6809523809523811,0.7952380952380953,molWeight,molVolume,nof_Chirals,nof_HBD,C_R1
2130,0.7952380952380953,0.7571428571428572,molWeight,molVolume,nof_Chirals,Complexity,nof_PO4
2132,0.8238095238095238,0.7714285714285715,molWeight,molVolume,nof_Chirals,Complexity,nof_SH
2133,0.7904761904761904,0.7571428571428572,molWeight,molVolume,nof_Chirals,Complexity,nof_NH2
2146,0.7380952380952381,0.7666666666666667,molWeight,molVolume,nof_Chirals,nof_posCharge,nof_Fragments
2148,0.7,0.7666666666666667,molWeight,molVolume,nof_Chirals,nof_posCharge,nof_SO3H
2153,0.7428571428571429,0.7666666666666667,molWeight,molVolume,nof_Chirals,nof_posCharge,nof_acetyl
2154,0.8238095238095238,0.7619047619047619,molWeight,molVolume,nof_Chirals,nof_negCharge,a_heavy
2177,0.6095238095238095,0.8190476190476191,molWeight,molVolume,nof_Chirals,a_heavy,nof_Fragments
2191,0.6761904761904762,0.7619047619047619,molWeight,molVolume,nof_Chirals,C_R2,nof_Fragments
2192,0.7571428571428572,0.7714285714285714,molWeight,molVolume,nof_Chirals,C_R2,nof_PO4
2193,0.7619047619047619,0.7714285714285715,molWeight,molVolume,nof_Chirals,C_R2,nof_SO3H
2217,0.7095238095238096,0.7619047619047619,molWeight,molVolume,nof_Chirals,C_R0,nof_PO4
2237,0.7904761904761906,0.7571428571428571,molWeight,molVolume,nof_Chirals,posCharge/Volume,nof_Fragments
2246,0.8571428571428571,0.7666666666666667,molWeight,molVolume,nof_Chirals,negCharge/Volume,nof_Fragments
2253,0.6809523809523811,0.7571428571428571,molWeight,molVolume,nof_Chirals,negCharge/Volume,nof_acetyl
2273,0.8238095238095239,0.7666666666666667,molWeight,molVolume,nof_Chirals,nof_PO4,nof_OH
2274,0.7952380952380953,0.7619047619047619,molWeight,molVolume,nof_Chirals,nof_PO4,nof_acetyl
2275,0.7619047619047619,0.7619047619047619,molWeight,molVolume,nof_Chirals,nof_SO3H,nof_SH
2280,0.8,0.7714285714285714,molWeight,molVolume,nof_Chirals,nof_SH,nof_NH2
2286,0.7095238095238096,0.7619047619047619,molWeight,molVolume,nof_Chirals,nof_NH2,nof_acetyl
2287,0.8285714285714285,0.7619047619047619,molWeight,molVolume,nof_Chirals,nof_COOH,nof_OH
2312,0.7904761904761904,0.7714285714285715,molWeight,molVolume,nof_HBA,molCharge_total,Complexity
2322,0.7952380952380953,0.7619047619047619,molWeight,molVolume,nof_HBA,molCharge_total,nof_RotB
2327,0.8190476190476191,0.7619047619047619,molWeight,molVolume,nof_HBA,molCharge_total,nof_NH2
2346,0.7523809523809524,0.7952380952380953,molWeight,molVolume,nof_HBA,nof_Rings,nof_NH2
2349,0.7666666666666667,0.7666666666666667,molWeight,molVolume,nof_HBA,nof_Rings,nof_acetyl
2350,0.7904761904761904,0.7714285714285714,molWeight,molVolume,nof_HBA,Complexity,nof_posCharge
2359,0.8523809523809524,0.7619047619047621,molWeight,molVolume,nof_HBA,Complexity,nof_RotB
2360,0.8238095238095238,0.8571428571428571,molWeight,molVolume,nof_HBA,Complexity,nof_Fragments
2361,0.7047619047619047,0.7714285714285714,molWeight,molVolume,nof_HBA,Complexity,nof_PO4
2364,0.8476190476190476,0.7904761904761904,molWeight,molVolume,nof_HBA,Complexity,nof_NH2
